Date,AsianPaints Open,AsianPaints High,AsianPaints Low,AsianPaints close,AsianPaints Adj Close,Asian paintsVolume,DMart Open,DMart High,DMart Low,DMart Close,Dmart Adj Close,DMart Volume,,Dropdown for Comparison,,,,,,,,,,,,,,,,Date,DMart Open,AsianPaints Open
5/24/2022,3174.75,3183.649902,3070,3086.850098,3064.740723,691307,3589.800049,3685.050049,3577.5,3658.199951,3658.199951,13927,,,,,,,,,,,,,,,,,,5/24/2022,3589.800049,3174.75
5/25/2022,3039,3039,2826.300049,2838.050049,2817.722656,3381427,3683,3694.449951,3555.550049,3586.100098,3586.100098,20008,,,,,,,,,,,,,,,,,,5/25/2022,3683,3039
5/26/2022,2850,2860,2718.550049,2840.149902,2819.807617,3212196,3621.300049,3629,3465.100098,3579.649902,3579.649902,18033,,,,,,,,,,,,,,,,,,5/26/2022,3621.300049,2850
5/27/2022,2868,2869,2781,2834.850098,2814.545654,1879534,3620,3647.75,3588.399902,3611.699951,3611.699951,16412,,,,,,,,,,,,,,,,,,5/27/2022,3620,2868
5/30/2022,2880,2884,2817,2844,2823.629883,2525482,3675,3821.100098,3648,3798,3798,19383,,,,,,,,,,,,,,,,,,5/30/2022,3675,2880
5/31/2022,2844,2878,2811,2859.649902,2839.167725,2408221,3810,4048,3768.25,3973.199951,3973.199951,90656,,,,,,,,,,,,,,,,,,5/31/2022,3810,2844
6/1/2022,2859.649902,2939.899902,2832.050049,2852.5,2832.069092,1770795,3970,4037.899902,3815.199951,3871.899902,3871.899902,52799,,,,,,,,,,,,,,,,,,6/1/2022,3970,2859.649902
6/2/2022,2870.199951,2919,2848,2908.550049,2887.717529,1164197,3899.949951,3926.050049,3833,3857.5,3857.5,20342,,,,,,,,,,,,,,,,,,6/2/2022,3899.949951,2870.199951
6/3/2022,2905,2919.449951,2856,2886.899902,2866.222412,1228489,3905,3905,3767.800049,3823.600098,3823.600098,25857,,,,,,,,,,,,,,,,,,6/3/2022,3905,2905
6/6/2022,2871.100098,2872,2807.699951,2817.449951,2797.27002,1193698,3805,3805,3675,3736.050049,3736.050049,30143,,,,,,,,,,,,,,,,,,6/6/2022,3805,2871.100098
6/7/2022,2800,2804,2731,2744.699951,2725.04126,1403598,3728,3778.600098,3653,3725.949951,3725.949951,21792,,,,,,,,,,,,,,,,,,6/7/2022,3728,2800
6/8/2022,2771.899902,2775,2700,2705.199951,2685.823975,1743575,3751,3766,3700.050049,3738.300049,3738.300049,10263,,,,,,,,,,,,,,,,,,6/8/2022,3751,2771.899902
6/9/2022,2680,2697.600098,2633.75,2686.800049,2682.928467,1857501,3725,3850,3693,3832.949951,3832.949951,18418,,,,,,,,,,,,,,,,,,6/9/2022,3725,2680
